incidentId,machineId,machineType,incidentType,incidentDate,severity
065,130,Perfuratriz,Desgaste da broca,2023-11-01,Baixa
066,077,Caminhão Fora de Estrada,Falha no sistema de transmissão,2023-10-04,Alta
067,040,Caminhão Fora de Estrada,Vazamento de óleo do motor,2022-01-21,Média
068,042,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2024-03-28,Baixa
069,083,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2021-07-17,Crítica
070,005,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2022-10-21,Média
071,093,Escavadeira Hidráulica,Falha no sistema de rotação,2019-09-19,Alta
072,062,Perfuratriz,Desgaste da broca,2023-01-13,Baixa
073,062,Perfuratriz,Desgaste da broca,2022-07-17,Baixa
074,022,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2021-07-16,Crítica
075,018,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-11-14,Alta
076,033,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2018-08-15,Crítica
077,141,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-02-12,Baixa
078,068,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2018-06-13,Crítica
079,055,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-04-02,Baixa
080,080,Perfuratriz,Quebra do motor de perfuração,2020-09-07,Crítica
081,096,Carregadeira,Danos na caçamba de carga,2024-11-23,Crítica
082,133,Caminhão Fora de Estrada,Quebra do eixo traseiro,2024-05-20,Crítica
083,031,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2019-08-27,Baixa
084,058,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2022-01-23,Média
085,087,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2020-09-26,Baixa
086,142,Perfuratriz,Falha no compressor de ar,2018-01-23,Alta
087,057,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2019-04-22,Média
088,019,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2022-07-28,Média
089,059,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2020-09-18,Baixa
090,009,Perfuratriz,Vazamento de combustível,2018-02-17,Média
091,019,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2020-05-18,Baixa
092,072,Carregadeira,Danos na caçamba de carga,2023-06-10,Crítica
093,055,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2022-12-19,Baixa
094,147,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-04-11,Crítica
095,063,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2022-11-16,Crítica
096,105,Caminhão Fora de Estrada,Falha no sistema de transmissão,2023-01-21,Alta
097,025,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2024-04-19,Baixa
098,111,Perfuratriz,Vazamento de combustível,2021-03-01,Média
099,109,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2018-06-06,Crítica
100,120,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2024-11-07,Média
101,026,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2023-04-15,Média
102,104,Escavadeira Hidráulica,Falha no sistema de rotação,2019-07-28,Alta
103,028,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-05-02,Baixa
104,050,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2022-06-07,Baixa
105,138,Caminhão Fora de Estrada,Quebra do eixo traseiro,2024-12-11,Crítica
106,036,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2020-02-11,Crítica
107,047,Escavadeira Hidráulica,Falha no sistema de rotação,2022-05-14,Alta
108,119,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2019-07-22,Baixa
109,020,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-08-30,Crítica
110,141,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2022-04-14,Média
111,013,Perfuratriz,Desgaste da broca,2020-05-13,Baixa
112,024,Caminhão Fora de Estrada,Falha no sistema de transmissão,2023-07-07,Alta
113,043,Caminhão Fora de Estrada,Quebra do eixo traseiro,2019-02-17,Crítica
114,125,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-06-03,Crítica
115,055,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2022-07-11,Crítica
116,016,Perfuratriz,Falha no compressor de ar,2023-10-23,Alta
117,098,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2022-08-05,Baixa
118,100,Carregadeira,Superaquecimento do motor,2024-08-08,Alta
119,117,Escavadeira Hidráulica,Falha no sistema de rotação,2024-11-17,Alta
120,109,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2021-11-25,Crítica
121,040,Caminhão Fora de Estrada,Falha no sistema de transmissão,2016-10-07,Alta
122,076,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2022-02-13,Baixa
123,015,Carregadeira,Desgaste dos pneus,2021-04-21,Baixa
124,081,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2021-12-24,Média
125,013,Perfuratriz,Quebra do motor de perfuração,2024-10-30,Crítica
126,129,Caminhão Fora de Estrada,Falha no sistema de transmissão,2018-09-23,Alta
127,015,Carregadeira,Desgaste dos pneus,2022-10-28,Baixa
128,048,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2021-07-17,Baixa
129,018,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-11-24,Alta
130,104,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2020-07-13,Média
131,146,Carregadeira,Falha no sistema hidráulico,2020-09-11,Média
132,149,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2017-05-02,Média
133,021,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2023-07-22,Crítica
134,150,Escavadeira Hidráulica,Falha no sistema de rotação,2022-03-18,Alta
135,067,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2018-05-10,Baixa
136,081,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2022-02-10,Baixa
137,068,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2018-06-30,Crítica
138,034,Carregadeira,Superaquecimento do motor,2023-08-21,Alta
139,118,Perfuratriz,Vazamento de combustível,2024-10-24,Média
140,019,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2023-02-04,Média
141,118,Perfuratriz,Desgaste da broca,2024-03-21,Baixa
142,019,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2023-05-15,Baixa
143,130,Perfuratriz,Vazamento de combustível,2023-08-21,Média
144,034,Carregadeira,Superaquecimento do motor,2023-06-30,Alta
145,018,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-09-02,Alta
146,095,Caminhão Fora de Estrada,Vazamento de óleo do motor,2021-12-27,Média
147,041,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2023-06-11,Crítica
148,140,Britador Primário,Falha no motor elétrico,2024-04-22,Alta
149,136,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2024-06-20,Baixa
150,142,Perfuratriz,Vazamento de combustível,2022-10-25,Média
151,027,Perfuratriz,Falha no compressor de ar,2022-03-15,Alta
152,068,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2020-04-08,Média
153,028,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-06-09,Baixa
154,070,Carregadeira,Superaquecimento do motor,2020-05-24,Alta
155,054,Escavadeira Hidráulica,Falha no sistema de rotação,2021-01-10,Alta
156,053,Caminhão Fora de Estrada,Vazamento de óleo do motor,2023-06-22,Média
157,130,Perfuratriz,Quebra do motor de perfuração,2023-10-14,Crítica
158,065,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2020-01-18,Média
159,024,Caminhão Fora de Estrada,Quebra do eixo traseiro,2020-08-31,Crítica
160,071,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2023-05-27,Média
161,001,Perfuratriz,Vazamento de combustível,2024-04-05,Média
162,034,Carregadeira,Superaquecimento do motor,2016-10-18,Alta
163,042,Caminhão Fora de Estrada,Quebra do eixo traseiro,2024-04-06,Crítica
164,142,Perfuratriz,Quebra do motor de perfuração,2017-11-15,Crítica
165,144,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2024-05-27,Baixa
166,029,Carregadeira,Desgaste dos pneus,2021-10-01,Baixa
167,039,Britador Primário,Bloqueio por material,2024-07-04,Média
168,095,Caminhão Fora de Estrada,Falha no sistema de transmissão,2021-12-12,Alta
169,111,Perfuratriz,Falha no compressor de ar,2017-09-25,Alta
170,011,Caminhão Fora de Estrada,Vazamento de óleo do motor,2018-07-03,Média
171,094,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2019-08-19,Média
172,092,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2017-11-15,Baixa
173,064,Carregadeira,Desgaste dos pneus,2021-07-31,Baixa
174,091,Perfuratriz,Quebra do motor de perfuração,2024-08-05,Crítica
175,040,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-09-07,Alta
176,042,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-03-30,Alta
177,106,Perfuratriz,Desgaste da broca,2023-10-21,Baixa
178,046,Escavadeira Hidráulica,Falha no sistema de rotação,2024-11-23,Alta
179,106,Perfuratriz,Falha no compressor de ar,2024-08-15,Alta
180,069,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-11-30,Baixa
181,028,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2022-04-30,Crítica
182,010,Perfuratriz,Quebra do motor de perfuração,2024-05-11,Crítica
183,057,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2021-10-07,Baixa
184,118,Perfuratriz,Vazamento de combustível,2024-02-12,Média
185,079,Carregadeira,Falha no sistema hidráulico,2022-09-28,Média
186,058,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2023-08-11,Média
187,050,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2020-02-26,Crítica
188,085,Escavadeira Hidráulica,Falha no sistema de rotação,2023-10-28,Alta
189,018,Caminhão Fora de Estrada,Vazamento de óleo do motor,2024-07-27,Média
190,090,Perfuratriz,Quebra do motor de perfuração,2024-10-27,Crítica
191,138,Caminhão Fora de Estrada,Vazamento de óleo do motor,2024-09-29,Média
192,008,Carregadeira,Desgaste dos pneus,2024-08-06,Baixa
193,067,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-01-03,Baixa
194,149,Escavadeira Hidráulica,Falha no sistema de rotação,2022-05-17,Alta
195,010,Perfuratriz,Desgaste da broca,2022-04-23,Baixa
196,112,Carregadeira,Superaquecimento do motor,2018-03-28,Alta
197,081,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-06-10,Crítica
198,131,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2021-11-20,Baixa
199,099,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-12-21,Baixa
200,066,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2020-06-16,Média
201,112,Carregadeira,Desgaste dos pneus,2021-11-22,Baixa
202,134,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-02-06,Alta
203,094,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2021-02-23,Crítica
204,018,Caminhão Fora de Estrada,Vazamento de óleo do motor,2024-08-02,Média
205,081,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2021-01-20,Média
206,077,Caminhão Fora de Estrada,Vazamento de óleo do motor,2023-04-04,Média
207,105,Caminhão Fora de Estrada,Vazamento de óleo do motor,2022-07-11,Média
208,104,Escavadeira Hidráulica,Falha no sistema de rotação,2019-12-28,Alta
209,142,Perfuratriz,Falha no compressor de ar,2018-04-22,Alta
210,050,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2019-05-06,Crítica
211,098,Caminhão Fora de Estrada,Falha no sistema de transmissão,2021-10-22,Alta
212,146,Carregadeira,Superaquecimento do motor,2023-04-13,Alta
213,104,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2021-12-20,Média
214,078,Caminhão Fora de Estrada,Vazamento de óleo do motor,2024-12-22,Média
215,054,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2022-06-07,Crítica
216,149,Escavadeira Hidráulica,Falha no sistema de rotação,2020-10-05,Alta
217,120,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-12-12,Crítica
218,114,Caminhão Fora de Estrada,Falha no sistema de transmissão,2023-05-26,Alta
219,131,Caminhão Fora de Estrada,Quebra do eixo traseiro,2016-09-28,Crítica
220,044,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2024-10-24,Média
221,073,Carregadeira,Superaquecimento do motor,2024-06-09,Alta
222,024,Caminhão Fora de Estrada,Falha no sistema de transmissão,2020-09-14,Alta
223,080,Perfuratriz,Falha no compressor de ar,2024-12-03,Alta
224,051,Perfuratriz,Falha no compressor de ar,2019-11-04,Alta
225,007,Carregadeira,Desgaste dos pneus,2020-05-26,Baixa
226,063,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2023-03-21,Crítica
227,019,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2020-04-28,Crítica
228,107,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-04-10,Alta
229,099,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-12-19,Crítica
230,103,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-09-04,Alta
231,038,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2022-10-12,Média
232,028,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2022-06-26,Crítica
233,057,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2020-04-03,Baixa
234,133,Caminhão Fora de Estrada,Quebra do eixo traseiro,2023-09-19,Crítica
235,013,Perfuratriz,Falha no compressor de ar,2019-04-03,Alta
236,032,Britador Primário,Rompimento de correias,2024-05-09,Crítica
237,035,Carregadeira,Danos na caçamba de carga,2022-10-16,Crítica
238,136,Caminhão Fora de Estrada,Vazamento de óleo do motor,2022-06-20,Média
239,114,Caminhão Fora de Estrada,Quebra do eixo traseiro,2020-05-31,Crítica
240,141,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2022-12-14,Crítica
241,041,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2023-06-19,Crítica
242,116,Caminhão Fora de Estrada,Vazamento de óleo do motor,2024-05-30,Média
243,064,Carregadeira,Superaquecimento do motor,2024-12-19,Alta
244,134,Caminhão Fora de Estrada,Quebra do eixo traseiro,2022-01-27,Crítica
245,062,Perfuratriz,Vazamento de combustível,2018-05-03,Média
246,113,Perfuratriz,Desgaste da broca,2022-07-27,Baixa
247,074,Perfuratriz,Falha no compressor de ar,2020-04-26,Alta
248,070,Carregadeira,Superaquecimento do motor,2019-12-16,Alta
249,082,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2023-08-29,Baixa
250,036,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2017-06-19,Baixa
251,060,Caminhão Fora de Estrada,Quebra do eixo traseiro,2024-04-18,Crítica
252,040,Caminhão Fora de Estrada,Falha no sistema de transmissão,2017-12-13,Alta
253,017,Caminhão Fora de Estrada,Quebra do eixo traseiro,2024-11-30,Crítica
254,105,Caminhão Fora de Estrada,Vazamento de óleo do motor,2017-11-11,Média
255,139,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2023-05-16,Crítica
256,107,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2024-08-03,Baixa
257,053,Caminhão Fora de Estrada,Quebra do eixo traseiro,2023-08-28,Crítica
258,100,Carregadeira,Desgaste dos pneus,2023-09-10,Baixa
259,148,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2017-05-30,Crítica
260,123,Carregadeira,Desgaste dos pneus,2024-07-27,Baixa
261,091,Perfuratriz,Vazamento de combustível,2024-04-23,Média
262,100,Carregadeira,Danos na caçamba de carga,2024-02-02,Crítica
263,138,Caminhão Fora de Estrada,Falha no sistema de transmissão,2023-09-29,Alta
264,125,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-11-26,Baixa
265,070,Carregadeira,Danos na caçamba de carga,2021-08-11,Crítica
266,125,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2023-05-04,Média
267,100,Carregadeira,Superaquecimento do motor,2023-08-14,Alta
268,104,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2021-09-20,Baixa
269,120,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-07-09,Baixa
270,137,Britador Primário,Bloqueio por material,2024-12-28,Média
271,101,Perfuratriz,Desgaste da broca,2024-12-28,Baixa
272,022,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2020-07-22,Crítica
273,035,Carregadeira,Danos na caçamba de carga,2022-02-13,Crítica
274,047,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2024-02-02,Média
275,067,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2020-01-11,Crítica
276,084,Carregadeira,Falha no sistema hidráulico,2017-12-19,Média
277,117,Escavadeira Hidráulica,Falha no sistema de rotação,2023-09-15,Alta
278,087,Caminhão Fora de Estrada,Quebra do eixo traseiro,2023-06-24,Crítica
279,072,Carregadeira,Danos na caçamba de carga,2023-05-09,Crítica
280,065,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2020-12-06,Média
281,121,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2024-12-17,Média
282,139,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2020-04-21,Média
283,090,Perfuratriz,Falha no compressor de ar,2023-07-22,Alta
284,018,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2024-12-30,Baixa
285,008,Carregadeira,Falha no sistema hidráulico,2024-11-14,Média
286,052,Britador Primário,Bloqueio por material,2016-03-23,Média
287,040,Caminhão Fora de Estrada,Falha no sistema de transmissão,2020-04-14,Alta
288,033,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2016-12-25,Crítica
289,030,Perfuratriz,Falha no compressor de ar,2019-03-07,Alta
290,120,Escavadeira Hidráulica,Falha no sistema de rotação,2024-09-13,Alta
291,095,Caminhão Fora de Estrada,Falha no sistema de transmissão,2021-10-27,Alta
292,030,Perfuratriz,Falha no compressor de ar,2020-07-14,Alta
293,080,Perfuratriz,Desgaste da broca,2021-07-08,Baixa
294,149,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2016-12-14,Média
295,080,Perfuratriz,Quebra do motor de perfuração,2018-08-19,Crítica
296,102,Perfuratriz,Falha no compressor de ar,2022-05-27,Alta
297,020,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-11-14,Baixa
298,027,Perfuratriz,Vazamento de combustível,2024-12-26,Média
299,031,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2022-01-26,Média
300,089,Caminhão Fora de Estrada,Quebra do eixo traseiro,2023-08-23,Crítica
301,095,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2020-05-26,Baixa
302,130,Perfuratriz,Vazamento de combustível,2022-11-06,Média
303,004,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2019-12-12,Crítica
304,126,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2023-03-31,Média
305,111,Perfuratriz,Vazamento de combustível,2022-02-10,Média
306,118,Perfuratriz,Falha no compressor de ar,2024-03-24,Alta
307,112,Carregadeira,Falha no sistema hidráulico,2020-12-02,Média
308,134,Caminhão Fora de Estrada,Vazamento de óleo do motor,2021-08-11,Média
309,138,Caminhão Fora de Estrada,Quebra do eixo traseiro,2024-08-07,Crítica
310,120,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-10-09,Crítica
311,069,Escavadeira Hidráulica,Falha no sistema de rotação,2024-04-03,Alta
312,063,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2022-11-14,Média
313,072,Carregadeira,Danos na caçamba de carga,2024-03-10,Crítica
314,063,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2024-05-13,Crítica
315,146,Carregadeira,Danos na caçamba de carga,2023-04-10,Crítica
316,087,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2021-01-27,Baixa
317,127,Caminhão Fora de Estrada,Vazamento de óleo do motor,2020-06-09,Média
318,047,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2021-04-23,Crítica
319,055,Escavadeira Hidráulica,Falha no sistema de rotação,2019-01-13,Alta
320,067,Escavadeira Hidráulica,Falha no sistema de rotação,2017-01-22,Alta
321,072,Carregadeira,Superaquecimento do motor,2023-03-18,Alta
322,143,Carregadeira,Desgaste dos pneus,2024-06-18,Baixa
323,133,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-06-16,Alta
324,022,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-05-18,Baixa
325,105,Caminhão Fora de Estrada,Quebra do eixo traseiro,2020-12-16,Crítica
326,143,Carregadeira,Falha no sistema hidráulico,2024-09-09,Média
327,122,Carregadeira,Danos na caçamba de carga,2022-02-10,Crítica
328,115,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2023-06-04,Baixa
329,024,Caminhão Fora de Estrada,Vazamento de óleo do motor,2023-04-03,Média
330,057,Escavadeira Hidráulica,Quebra do cilindro hidráulico,2019-01-15,Crítica
331,063,Escavadeira Hidráulica,Falha no sistema de rotação,2022-03-19,Alta
332,149,Escavadeira Hidráulica,Falha no sistema de rotação,2023-04-29,Alta
333,122,Carregadeira,Superaquecimento do motor,2021-04-21,Alta
334,109,Escavadeira Hidráulica,Falha no sistema de rotação,2017-09-26,Alta
335,091,Perfuratriz,Quebra do motor de perfuração,2024-04-10,Crítica
336,070,Carregadeira,Superaquecimento do motor,2022-10-27,Alta
337,065,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2019-07-04,Baixa
338,031,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2021-01-26,Baixa
339,081,Escavadeira Hidráulica,Vazamento de óleo hidráulico,2024-07-03,Média
340,138,Caminhão Fora de Estrada,Falha no sistema de transmissão,2024-10-03,Alta
341,050,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2023-12-11,Baixa
342,124,Escavadeira Hidráulica,Falha no sistema de rotação,2022-02-28,Alta
343,135,Escavadeira Hidráulica,Falha no sistema de rotação,2023-09-25,Alta
344,026,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2019-08-05,Baixa
345,076,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2022-02-05,Baixa
346,093,Escavadeira Hidráulica,Desgaste dos dentes da caçamba,2024-08-08,Baixa
347,078,Caminhão Fora de Estrada,Desgaste das pastilhas de freio,2016-11-18,Baixa
348,137,Britador Primário,Desgaste das mandíbulas,2020-02-21,Baixa
